title,author,year,category
Mr. Adam,"Frank, Pat",1946,1
"""With Folded Hands""","Williamson, Jack",1947,1
Ape and Essence,"Huxley, Aldous",1948,1
"""Let the Ants Try""","MacCreigh, James",1949,1
Nineteen Eighty-Four,"Orwell, George",1949,1
"""There Will Come Soft Rains""","Bradbury, Ray",1950,1
Shadow on the Hearth,"Merril, Judith",1950,1
"""Dear Devil""","Russell, Eric Frank",1950,1
Star Man's Son,"Norton, Andre",1952,1
"""Second Variety""","Dick, Philip K.",1953,1
Tomorrow!,"Wylie, Philip",1954,1
The Long Tomorrow,"Brackett, Leigh",1955,1
Few Were Left,"Rein, Harold",1955,1
The World Jones Made,"Dick, Philip K.",1956,1
"""To Serve the Master""","Dick, Philip K.",1956,1
Red Alert,"George, Peter",1958,1
"Alas, Babylon","Frank, Pat",1959,1
Canticle for Leibovitz,"Miller, Walter M.",1959,1
Level 7,"Roshwald, Mordecai",1959,1
Dark Universe,"Galouye, Daniel F.",1961,1
Cat's Cradle,"Vonnegut, Kurt",1962,1
Triumph,"Wylie, Philip",1963,1
Farnham's Freehold,"Heinlein, Robert A.",1964,1
Davy,"Pangborn, Edgar",1964,1
"Dr. Bloodmoney, or How We Got Along After the Bomb","Dick, Philip K.",1965,1
The Judgment of Eve,"Pangborn, Edgar",1966,1
"""I Have No Mouth, and I Must Scream""","Ellison, Harlan",1967,1
Berserker series,"Saberhagen, Fred",1967,1
Do Androids Dream of Electric Sheep?,"Dick, Philip K.",1968,1
Heroes and Villains,"Carter, Angela",1969,1
"""A Boy and his Dog""","Ellison, Harlan",1969,1
Damnation Alley,"Zelazny, Roger",1969,1
Malevil,"Merle, Robert",1972,1
The Coming of the Horseclans,"Adams, Robert",1975,1
The Winter of the World,"Anderson, Poul",1975,1
Z for Zachariah,"O'Brien, Robert C.",1975,1
The Company of Glory ,"Pangborn, Edgar",1975,1
Deus Irae,"Dick, Philip K. & Roger Zelazny",1976,1
Sword of Shannara (Shannara series),"Brooks, Terry",1977,1
Dreamsnake,"McIntyre, Vonda N.",1978,1
Down to a Sunless Sea,"Graham, David",1979,1
Shikasta,"Lessing, Doris",1979,1
"The Steel, the Mist and the Blazing Sun","Anvil, Christopher",1980,1
The Fifth Horseman,"Collins, Larry and Dominique Lapierre",1980,1
Riddley Walker,"Hoban, Russell",1980,1
The Breaking of Northwall (Pelbar Cycle),"Williams, Paul O.",1980,1
Survivalist: Total War,"Ahem, Jerry",1981,1
Orion Shall Rise,"Anderson, Poul",1983,1
Pulling Through,"Ing, Dean",1983,1
Out of the Ashes (Ashes series),"Johnstone, William W.",1983,1
Hiero's Journey,"Lanier, Sterling E.",1983,1
